Lake Name,Lake Short Name,Lake Name Folder,Reservoir or lake?,Country,latitude (dec deg),longitude (dec deg),elevation (m),mean depth (m),max depth (m),lake area (kmÂ²),Average Secchi disk depth [m],Light extinction coefficient [m-1]
Allequash Lake,Allequash,allequash,lake,USA,46.04,-89.62,494,2.9,8,1.64,3.2,
Alqueva Reservoir,Alqueva,alqueva,reservoir,Portugal,38.2,-7.49,152,16.6,92,250,3.15,0.69
Lake Annie,Annie,annie,lake,USA,27.21,-81.35,33.7,,20.7,0.36,,
Lake Argyle,Argyle,argyle,reservoir,Australia,-16.31,128.68,100,10.1,51,980,,0.89
Lake Biel,Biel,biel,lake,Switzerland,47.08,7.16,429,30,74,39.3,,0.51
Big Muskellunge Lake,BigMuskellunge,big-muskellunge,lake,USA,46.02,-89.61,500,7.5,21.3,3.63,6.6,
Black Oak Lake,BlackOak,black-oak,lake,USA,46.16,-89.32,521.51,10.36,25.91,2.28,3.2,
Lake Burley Griffin,BurleyGriffin,burley-griffin,reservoir,Australia,-35.3,149.07,556,5,17,6.64,1.4,
Crystal Lake,Crystal,crystal-lake,lake,USA,46,-89.61,501,10.4,20.4,0.38,7.5,
Crystal Bog,Crystal Bog,crystal-bog,lake,USA,46.01,-89.61,501.5,1.7,2.5,0.01,1.5,
Delavan Lake,Delavan,delavan,lake,USA,42.61,-88.6,282.55,7.61,16.46,6.96,3.53,
Dickie Lake,Dickie,dickie,lake,Canada,45.15,-79.09,341,5,12,0.94,3.08,
Eagle Lake,Eagle,eagle,lake,Canada,44.68,-76.7,190,10.1,31.1,6.65,4.62,
Ekoln basin of Malaren,Ekoln,ekoln,lake,Sweden,59.75,17.62,0.7,11.5,50,20.18,,1.09
Lake Erken,Erken,erken,lake,Sweden,59.84,18.63,10,9,21,24,3.83,
Esthwaite Water,EsthwaiteWater,esthwaite-water,lake,United Kingdom,54.37,-2.99,65,6.9,16,0.96,,0.82
Falling Creek Reservoir,FallingCreek,falling-creek,reservoir,USA,37.31,-79.84,507,4,9.3,119,,0.87
Lake Feeagh,Feeagh,feeagh,lake,Ireland,53.9,-9.5,15,14.5,44,3.9,1.74,0.98
Fish Lake,Fish,fish,lake,USA,43.29,-89.65,265,6.6,18.9,0.8,2.4,
Great Pond,GreatPond,great,lake,USA,44.53,-69.89,81,6.3,21,33.83,6.7,
Green Lake,Green,green,lake,USA,43.81,-89,243,33.55,72,29.48,4.8,
Harp Lake,Harp,harp,lake,Canada,45.38,-79.13,327,13.32,37.5,0.71,4.08,
Kilpisjarvi,Kilpisjarvi,kilpisjarvi,lake,Finland,69.03,20.77,473,20,57,37.3,,0.3
Lake Kinneret,Kinneret,kinneret,lake,Israel,32.82,35.58,-210,24,45,168,2.95,0.51
Lake Kivu,Kivu,kivu,lake,Rwanda/DR Congo,-1.73,29.24,1463,240,485,2700,5.21,0.27
Klicava Reservoir,Klicava,klicava,reservoir,Czechia,50.07,13.93,294.6,13.1,35,0.55,5.5,
Lake Kuivajarvi,Kuivajarvi,kuivajarvi,lake,Finland,60.47,23.51,130,6.3,13.2,0.62,,0.6
Lake Langtjern,Langtjern,langtjern,lake,Norway,60.37,9.73,510,2,12,0.23,1.4,2.25
Laramie Lake,Laramie,laramie,lake,USA,40.62,-105.84,2843.8,,6.4,0.14,0.6,
Lower Lake Zurich,LowerLakeZurich,lower-zurich,lake,Switzerland,47.28,8.58,406,49,136,67,,0.39
Lake Mendota,Mendota,mendota,lake,USA,43.1,-89.41,258.5,12.8,25.3,39.61,3,
Lake Monona,Monona,monona,lake,USA,43.06,-89.36,257,8.2,22.5,13.6,2.4,
Mozhaysk reservoir,Mozhaysk,mozhaysk,reservoir,Russia,55.59,35.82,183,7,23,30.7,1,
Mt Bold,MtBold,mt-bold,reservoir,Australia,-35.12,138.71,242.9,13,45.4,3.08,1.24,1.16
Lake Muggelsee,Muggelsee,mueggelsee,lake,Germany,52.43,13.65,32.3,4.9,7.7,7.4,2,1.48
Lake Neuchatel,Neuchatel,neuchatel,lake,Switzerland,46.54,6.52,429,64,152,217,,0.25
Ngoring,Ngoring,ngoring,lake,China,34.9,97.7,4300,17.6,30.7,611,,0.3
Lake Nohipalo Mustjaerv,NohipaloMustjaerv,nohipalo-mustjaerv,lake,Estonia,57.93,27.34,61,3.9,8.9,0.22,0.46,
Lake Nohipalo Valgejaerv,NohipaloValgejaerv,nohipalo-valgejaerv,lake,Estonia,57.94,27.35,62,6.2,12.5,0.07,4.52,
Okauchee Lake,Okauchee,okauchee,lake,USA,43.13,-88.43,269,7.62,28.65,4.9,6.94,
Lake Paaijarvi,Paajarvi,paaijarvi,lake,Finland,61.07,25.13,102,15,85,13.44,2.2,1.15
Rappbode Reservoir,Rappbode,rappbode,reservoir,Germany,51.74,10.89,415,28.6,89,3.95,4.8,0.25
Rimov Reservoir,Rimov,rimov,reservoir,Czechia,48.85,14.49,471.48,16,44,2.11,2.9,
Lake Rotorua,Rotorua,rotorua,lake,New Zealand,-38.08,176.28,280,10.8,52.9,425,2.63,0.61
Lake Sammamish,Sammamish,sammamish,lake,USA,47.59,-122.1,9,17.7,32,19.8,5,
Sau Reservoir,Sau,sau,reservoir,Spain,41.97,2.4,425,29,65,5.8,2.57,0.84
Sparkling Lake,Sparkling,sparkling,lake,USA,46.01,-89.7,495,10.9,20,0.64,6.2,
Lake Stechlin,Stechlin,stechlin,lake,Germany,53.17,13.03,59.8,23.2,69.5,2.23,8.6,0.29
Lake Sunapee,Sunapee,sunapee,lake,USA,43.23,-72.5,333,11.4,34,16.55,8.5,
Lake Tahoe,Tahoe,tahoe,reservoir,USA,39.09,-120.03,1897,304.8,501,490,19.9,
Lake Tarawera,Tarawera,tarawera,lake,New Zealand,-38.21,176.43,300,50,87.5,41.3,8.34,0.18
Toolik Lake,Toolik,toolik,lake,USA,68.63,-149.6,720,7,25,,4.6,
Trout Lake,Trout,trout-lake,lake,USA,46.03,-89.67,491.8,14.6,35.7,15.65,4.7,
Trout Bog,Trout Bog,trout-bog,lake,USA,46.04,-89.69,495,5.6,7.9,0,1.1,
Two Sisters Lake,TwoSisters,two-sisters,lake,USA,45.77,-89.53,481,9.14,19.2,2.91,17.75,
Lake Vortsjarv,Vortsjarv,vortsjaerv,lake,Estonia,58.31,26.01,33,2.8,6,270,0.86,2.76
Lake Washington,Washington,washington,lake,USA,47.64,-122.27,5,33,65.2,87.6,5.3,
Windermere,Windermere,windermere,lake,United Kingdom,54.31,-2.95,39,21.3,64,14.76,,0.46
Lake Wingra,Wingra,wingra,lake,USA,43.05,-89.43,254,2.7,6.7,1.36,0.7,
Zlutice Reservoir,Zlutice,zlutice,reservoir,Czechia,50.09,13.11,507.95,8.5,24,1.5,2.8,
Lake Taihu,Taihu,taihu,lake,China,31.24,120.17,3.3,2.1,4.8,2445,0.3,
Lake Chao,Chao,chao,lake,China,31.53,117.53,4.5,3,7.98,780,0.38,
Lake Hulun,Hulun,hulun,lake,China,49,117.39,545.6,5.75,8,2339,0.35,
Rappbode Predam,Rappbodep,rappbodep,reservoir,Germany,51.71,10.8,533,5.3,16,0.24,2.26,
Hassel Predam,Hassel,hassel,reservoir,Germany,51.71,10.83,504,5,14,0.26,2.15,
Lake Arendsee,Arendsee,arendsee,lake,Germany,52.89,11.47,23,28.8,49,5.11,2.89,
Lake Scharmutzelsee,Scharmutzelsee,scharmutzelsee,lake,Germany,52.25,14.05,38.3,8.8,29,12.1,2,
Lake Zurich,Zurich,zurich,lake,Switzerland,47.28,8.6,406,51,136,68.2,5.04,
Lake Thun,Thun,thun,lake,Switzerland,46.7,7.7,558,136,212,48.3,8.05,
Lake Murten,Murten,murten,lake,Switzerland,46.93,7.08,429,22,45,22.8,3.49,
Lake Bryrup,Bryrup,bryrup,lake,Denmark,56.02,9.52,66,4.6,9,0.37,2.1,
Lake Bosumtwi,Bosumtwi,bosumtwi,lake,Ghana,6.3,1.25,210,34,78,52,1.2,
Lake Vendyurskoe,Vendyurskoe,vendyurskoe,lake,Russia,62.1,33.1,131,5.3,13.4,10.4,3.5,1.5
